Produto,Preco,Site,Dia,Mes,Ano
"Tesoura Escolar Lâmina Inox - Formato Tigre 13.5 cm, Bee Unique, DS-SO0019","R$8
51",Amazon,4,8,2023
"Tesoura Escolar de Picotar Onda 13cm, BRW","R$8
60",Amazon,4,8,2023
"Tesoura de corte 27,2cm","R$8
74",Amazon,4,8,2023
"Tesoura Escolar 4 1/2"" 11,5Cm, Verde, Brinox","R$8
89",Amazon,4,8,2023
Borracha Prisma Mercur - Branca,"R$8
90",Amazon,4,8,2023
"Tesoura Escolar Lâmina Inox - Formato Panda 13 cm, Bee Unique, DS-SO0021","R$9
00",Amazon,4,8,2023
Tesoura Escolar Lâmina Inox - Formato Elefante 13 Cm,"R$9
00",Amazon,4,8,2023
Tesoura Escolar Lâmina Inox C/Travinha 14 Cm C/ 2 Cores,"R$9
08",Amazon,4,8,2023
"TESOURA ESCOLAR INOX 5"" MONSTER COLORIDAS SEM OPÇÃO DE COR","R$13
17",Amazon,4,8,2023
"Tesoura escolar sem ponta 11,4cm ponta arredondada (Cores So"," 5,60",Kalunga,4,8,2023
Tesoura escolar sem ponta Essencials 13 cm escolar (Cores So," 6,10",Kalunga,4,8,2023
Tesoura escolar sem ponta 13cm (Cores Sortidas) 601571 Tris ," 6,60",Kalunga,4,8,2023
Tesoura escolar sem ponta 13cm Essentials preta 464269 Maped," 6,70",Kalunga,4,8,2023
"Tesoura escolar sem ponta para canhoto 11,5cm (Cores Sortida"," 6,70",Kalunga,4,8,2023
Tesoura escolar sem ponta 12cm Infantil Kid Pulse Jacaré 472," 6,90",Kalunga,4,8,2023
Tesoura escolar sem ponta 13cm Essentials 464410 Maped - BT ," 8,10",Kalunga,4,8,2023
"Tesoura escolar sem ponta 10,52cm 25900/104 Tramontina - BT "," 8,80",Kalunga,4,8,2023
"Tesoura escolar sem ponta 10,8cm ponto vermelho 667-4 Mundia"," 9,70",Kalunga,4,8,2023
Tesoura escolar sem ponta 12cm Infantil Kidcut (Cores Sortid,"11,00",Kalunga,4,8,2023
Tesoura escolar sem ponta 14cm Noris Club 965 14 NBK03 Staed,"11,50",Kalunga,4,8,2023
Tesoura escolar sem ponta 13cm em aço 25901/105 Tramontina -,"12,30",Kalunga,4,8,2023
"Tesoura escolar sem ponta 13cm Naruto 610009 Tris - BT 1 UN
","13,70",Kalunga,4,8,2023
